NAME : sz1
VERTICES : 2931
DEPOT : 1
INDEX	NODES	COST	DEMAND
132104	358	288	5299	
132105	207	358	595	
132106	330	207	1078	
132107	899	330	1454	
132201	330	899	1453	
132202	207	330	1076	
132203	358	207	579	
132204	288	358	5050	
132205	20	288	7156	
132206	893	20	1386	
132207	900	893	1052	
133301	140	211	2131	
133302	902	140	1329	
133303	903	902	1139	
133304	132	903	1258	
133305	421	132	1484	
133306	463	421	1675	
133307	907	463	2373	
133308	908	907	1050	
133309	909	908	1354	
133310	910	909	2527	
133311	911	910	890	
133312	912	911	774	
133313	913	912	749	
133314	914	913	368	
133315	915	914	1229	
133316	916	915	844	
133317	917	916	1639	
133318	918	917	1364	
133401	917	918	1375	
133402	916	917	1635	
133403	915	916	829	
133404	914	915	1236	
133405	913	914	366	
133406	912	913	731	
133407	911	912	789	
133408	910	911	852	
133409	909	910	2570	
133410	908	909	1327	
133411	907	908	1062	
133412	463	907	2345	
133413	421	463	2005	
133414	132	421	1608	
133415	903	132	1672	
133416	902	903	606	
133417	140	902	1351	
133418	211	140	2127	
134301	872	227	491	
134302	237	872	949	
134303	922	237	567	
134304	210	922	2954	
134401	922	210	2969	
134402	237	922	569	
134403	872	237	955	
134404	227	872	488	
136301	925	929	719	
136302	46	925	553	
136303	927	46	556	
136304	928	927	510	
136401	927	928	511	
136402	46	927	556	
136403	925	46	550	
136404	929	925	723	
138101	930	222	738	
138102	310	930	595	
138103	932	310	409	
138104	91	932	575	
138201	932	91	576	
138202	310	932	407	
138203	930	310	596	
138204	222	930	735	
139101	935	938	452	
139102	936	935	511	
139103	89	936	496	
139201	936	89	508	
139202	935	936	502	
139203	938	935	442	
140101	70	71	576	
140102	69	70	593	
140103	68	69	595	
140104	67	68	859	
140105	299	67	722	
140106	940	299	436	
140107	941	940	793	
140108	88	941	368	
140201	941	88	366	
140202	940	941	803	
140203	299	940	429	
595401	910	2126	1161	
596101	944	945	323	
596201	945	944	325	
597301	946	948	891	
597302	947	946	716	
597401	946	947	716	
597402	948	946	891	
598101	949	951	1848	
598102	950	949	2356	
598201	949	950	2323	
598202	951	949	1864	
599301	952	953	210	
599401	953	952	198	
600301	949	956	1847	
600302	955	949	754	
600401	949	955	734	
600402	956	949	1864	
601301	957	958	1247	
601401	958	957	1247	
602301	959	961	1586	
602302	960	959	800	
602401	959	960	1046	
602402	961	959	1354	
603301	962	963	642	
603401	963	962	640	
604301	964	965	1331	
604401	965	964	1331	
606101	951	967	2195	
606201	967	951	2189	
607301	968	972	666	
607302	969	968	503	
607303	970	969	794	
607304	953	970	558	
607401	970	953	576	
607402	969	970	781	
607403	968	969	500	
607404	972	968	663	
608301	973	950	503	
608401	950	973	500	
609301	975	955	881	
609302	976	975	530	
609401	975	976	535	
609402	955	975	871	
610101	978	984	1412	
610102	979	978	1451	
610103	980	979	969	
610104	981	980	791	
610105	982	981	618	
610106	983	982	1478	
610201	982	983	1492	
610202	981	982	616	
610203	980	981	880	
610204	979	980	661	
610205	978	979	1664	
610206	984	978	1429	
611101	985	0	830	
611102	986	985	893	
611103	987	986	686	
611104	962	987	572	
611105	989	962	917	
611106	990	989	1027	
611201	989	990	1043	
611202	962	989	917	
611203	987	962	577	
611204	986	987	687	
611205	985	986	886	
611206	0	985	828	
612101	991	997	1439	
612102	992	991	763	
612103	993	992	510	
612104	994	993	1005	
612105	995	994	683	
612106	996	995	1684	
612201	995	996	1682	
612202	994	995	687	
612203	993	994	995	
612204	992	993	523	
612205	991	992	793	
612206	997	991	1412	
613101	998	1005	3165	
613102	948	998	865	
613103	970	948	182	
613104	959	970	567	
613105	1002	959	676	
613106	976	1002	385	
613107	1004	976	924	
613201	976	1004	944	
613202	1002	976	386	
613203	959	1002	766	
613204	970	959	488	
613205	948	970	172	
613206	998	948	863	
613207	1005	998	3168	
615301	1006	1022	3088	
615302	1007	1006	2894	
615303	983	1007	1091	
615304	989	983	742	
615305	1010	989	412	
615306	973	1010	1276	
615307	996	973	678	
615308	1013	996	1241	
615309	1014	1013	987	
615310	1015	1014	710	
615311	958	1015	1818	
615312	965	958	1081	
615313	1018	965	542	
615314	1019	1018	1955	
615315	1020	1019	621	
615316	1021	1020	1299	
615401	1020	1021	1298	
615402	1019	1020	793	
615403	1018	1019	1790	
615404	965	1018	534	
615405	958	965	1084	
615406	1015	958	1825	
615407	1014	1015	717	
615408	1013	1014	1025	
615409	996	1013	1211	
615410	973	996	669	
615411	1010	973	1276	
615412	989	1010	410	
615413	983	989	739	
615414	1007	983	1094	
615415	1006	1007	2877	
615416	1022	1006	3085	
616301	1018	1024	418	
616401	1024	1018	418	
617301	1025	1026	538	
617401	1026	1025	541	
619301	967	1029	2030	
619302	991	967	708	
619401	967	991	698	
619402	1029	967	2041	
620301	992	1034	803	
620302	1031	992	855	
620303	1032	1031	719	
620304	1033	1032	667	
620401	1032	1033	672	
620402	1031	1032	715	
620403	992	1031	845	
620404	1034	992	802	
621301	1035	1036	220	
621401	1036	1035	220	
622301	1037	1038	325	
622401	1038	1037	325	
624101	1039	1040	1202	
624201	1040	1039	1202	
626101	1041	1043	742	
626102	1015	1041	1313	
626201	1041	1015	1313	
626202	1043	1041	742	
627301	987	981	2286	
627401	981	987	2286	
628101	1046	1047	752	
628201	1047	1046	753	
629101	415	1049	2822	
629201	1049	415	2815	
630101	1050	1051	1592	
630201	1051	1050	1592	
631301	1052	1053	861	
631401	1053	1052	863	
632301	1054	1055	443	
632401	1055	1054	443	
633301	985	979	520	
633401	979	985	520	
634301	1002	994	1980	
634401	994	1002	1980	
635301	986	980	657	
635401	980	986	657	
636101	1062	1063	982	
636201	1063	1062	982	
637301	1064	997	798	
637401	997	1064	798	
638301	1066	1067	809	
638401	1067	1066	809	
640101	1066	1064	634	
640102	1031	1066	856	
640103	968	1031	522	
640201	1031	968	521	
640202	1066	1031	853	
640203	1064	1066	634	
641101	1072	1076	806	
641102	1073	1072	777	
641103	1074	1073	755	
641104	1075	1074	911	
641201	1074	1075	994	
641202	1073	1074	755	
641203	1072	1073	777	
641204	1076	1072	806	
642301	1054	1078	759	
642401	1078	1054	759	
646301	1079	1080	552	
646401	1080	1079	552	
648301	1081	1082	749	
648401	1082	1081	749	
649101	1083	1084	1723	
649201	1084	1083	1723	
650101	1085	1086	500	
650201	1086	1085	509	
651301	1087	1085	641	
651401	1085	1087	641	
652301	1089	1090	1135	
652401	1090	1089	1135	
655301	1091	1094	1196	
655302	1092	1091	1249	
655303	1093	1092	540	
655401	1092	1093	594	
655402	1091	1092	1232	
655403	1094	1091	1196	
657301	1095	1096	215	
657401	1096	1095	201	
658301	1097	1098	1243	
658401	1098	1097	1241	
659101	1099	1101	456	
659102	1100	1099	507	
659201	1099	1100	506	
659202	1101	1099	456	
660301	1102	1105	495	
660302	1103	1102	711	
660303	1100	1103	324	
660402	1103	1100	361	
660403	1102	1103	667	
660404	1105	1102	482	
661301	1106	1107	838	
661401	1107	1106	886	
662301	1108	1112	762	
662302	1109	1108	419	
662303	1110	1109	1366	
662304	1111	1110	507	
662401	1110	1111	511	
662402	1109	1110	1360	
662403	1108	1109	419	
662404	1112	1108	767	
663101	1113	1114	275	
663201	1114	1113	273	
664101	1101	1116	506	
664201	1116	1101	531	
665301	1117	1118	777	
665401	1118	1117	795	
666301	1119	1123	663	
666302	1120	1119	1399	
666303	1121	1120	2655	
666304	1122	1121	2096	
666401	1121	1122	2095	
666402	1120	1121	2652	
666403	1119	1120	1401	
666404	1123	1119	672	
667101	1124	441	3641	
667102	1125	1124	4344	
667103	1126	1125	470	
667104	1127	1126	922	
667201	1126	1127	932	
667202	1125	1126	619	
667203	1124	1125	4209	
667204	441	1124	3649	
668101	1129	1131	2910	
668102	1130	1129	519	
668201	1129	1130	524	
668202	1131	1129	2926	
669301	1132	1124	1123	
669302	1098	1132	1088	
669303	1131	1098	538	
669304	1135	1131	895	
669401	1131	1135	934	
669402	1098	1131	522	
669403	1132	1098	1089	
669404	1124	1132	1127	
670101	1137	440	1093	
670102	1138	1137	498	
670201	1137	1138	493	
670202	440	1137	1089	
671101	1140	1145	657	
671102	1141	1140	894	
671103	1142	1141	1030	
671104	1143	1142	412	
671105	1144	1143	1069	
671201	1143	1144	1086	
671202	1142	1143	398	
671203	1141	1142	1055	
671204	1140	1141	874	
671205	1145	1140	658	
672101	1145	1152	583	
672102	1147	1145	974	
672103	1108	1147	856	
672104	1149	1108	733	
672105	1150	1149	415	
672106	1151	1150	1017	
672201	1150	1151	1030	
672202	1149	1150	405	
672203	1108	1149	733	
672204	1147	1108	844	
672205	1145	1147	972	
672206	1152	1145	570	
674301	1127	1158	1910	
674302	1154	1127	1327	
674303	1123	1154	490	
674304	1156	1123	854	
674305	1135	1156	2118	
674401	1156	1135	2128	
674402	1123	1156	867	
674403	1154	1123	490	
674404	1127	1154	1329	
674405	1158	1127	1906	
675301	1159	1164	491	
675302	1096	1159	595	
675303	1161	1096	459	
675304	1144	1161	615	
675305	1105	1144	540	
675401	1144	1105	550	
675402	1161	1144	612	
675403	1096	1161	453	
675404	1159	1096	492	
675405	1164	1159	594	
676101	1165	1152	870	
676102	1166	1165	501	
676103	1167	1166	611	
676104	1168	1167	459	
676105	1169	1168	881	
676106	1170	1169	444	
676107	1095	1170	1073	
676201	1170	1095	1087	
676202	1169	1170	431	
676203	1168	1169	895	
676204	1167	1168	447	
676205	1166	1167	628	
676206	1165	1166	504	
676207	1152	1165	863	
677101	1173	2147	768	
677102	1174	1173	1062	
677103	865	1174	1002	
677201	1174	865	1068	
249403	101	192	634	
250101	1177	1180	587	
250102	1178	1177	660	
250103	1179	1178	392	
250201	1178	1179	400	
250202	1177	1178	647	
250203	1180	1177	577	
251101	1181	1183	693	
251102	1182	1181	708	
251201	1181	1182	935	
251202	1183	1181	472	
252101	1184	1192	1610	
252102	1185	1184	936	
252103	1186	1185	784	
252104	103	1186	329	
252105	347	103	586	
252106	185	347	465	
252107	1190	185	563	
252108	443	1190	412	
252201	1190	443	434	
252202	185	1190	567	
252203	347	185	465	
252204	103	347	591	
252205	1186	103	320	
252206	1185	1186	938	
252207	1184	1185	786	
252208	1192	1184	1711	
253301	1193	1197	406	
253302	1194	1193	484	
253303	1195	1194	328	
253304	1196	1195	413	
253401	1195	1196	411	
253402	1194	1195	328	
253403	1193	1194	491	
253404	1197	1193	393	
254101	1198	1202	537	
254102	1199	1198	313	
254103	98	1199	485	
254104	349	98	604	
254201	98	349	661	
254202	1199	98	456	
254203	1198	1199	223	
254204	1202	1198	602	
255301	1203	1178	600	
255302	1204	1203	517	
255303	1184	1204	316	
255304	1206	1184	760	
255305	1207	1206	639	
255306	1208	1207	1825	
255307	136	1208	833	
255401	1208	136	844	
255402	1207	1208	1805	
255403	1206	1207	666	
255404	1184	1206	760	
255405	1204	1184	341	
255406	1203	1204	492	
255407	1178	1203	587	
256301	1193	1214	666	
256302	1212	1193	1133	
256303	1213	1212	1665	
256401	1212	1213	1664	
256402	1193	1212	1134	
256403	1214	1193	674	
257301	1198	1245	586	
257302	1216	1198	1296	
257303	1181	1216	1577	
257304	1185	1181	1453	
257305	1219	1185	1526	
257306	1220	1219	1763	
257307	137	1220	864	
257308	1222	137	503	
257309	1223	1222	1402	
257310	1224	1223	1049	
257311	1225	1224	535	
257312	448	1225	708	
257313	1227	448	1092	
257314	1228	1227	770	
257315	1229	1228	610	
257316	1230	1229	402	
257317	174	1230	666	
257318	1232	174	2078	
257319	1233	1232	992	
257320	163	1233	611	
257321	1235	163	1188	
257322	1236	1235	810	
257323	155	1236	782	
257324	1238	155	1428	
257325	1239	1238	1362	
257326	1240	1239	612	
257327	1241	1240	840	
257328	1242	1241	978	
257329	1243	1242	1196	
257330	126	1243	1408	
257401	1243	126	889	
257402	1242	1243	1968	
257403	1241	1242	1117	
257404	1240	1241	721	
257405	1239	1240	983	
257406	1238	1239	884	
257407	155	1238	1405	
257408	1236	155	830	
257409	1235	1236	839	
257410	163	1235	1107	
257411	1233	163	1132	
257412	1232	1233	741	
257413	174	1232	1463	
257414	1230	174	779	
257415	1229	1230	889	
257416	1228	1229	528	
257417	1227	1228	394	
257418	448	1227	1264	
257419	1225	448	554	
257420	1224	1225	744	
257421	1223	1224	841	
257422	1222	1223	1510	
257423	137	1222	690	
257424	1220	137	854	
257425	1219	1220	1948	
257426	1185	1219	1180	
257427	1181	1185	1567	
257428	1216	1181	1685	
257429	1198	1216	1006	
257430	1245	1198	548	
258102	1246	105	1168	
258301	1247	1248	750	
258401	1248	1247	742	
259101	1249	1250	2027	
259201	1250	1249	2053	
260301	1251	1252	844	
260401	1252	1251	842	
261301	1253	1257	628	
261302	1254	1253	869	
261303	1255	1254	770	
261304	1256	1255	612	
261401	1255	1256	623	
261402	1254	1255	767	
261403	1253	1254	872	
261404	1257	1253	628	
262301	1258	1263	728	
262302	1259	1258	457	
262303	1260	1259	487	
262304	1261	1260	552	
262305	1262	1261	592	
262401	1261	1262	592	
262402	1260	1261	549	
262403	1259	1260	472	
262404	1258	1259	476	
262405	1263	1258	728	
263101	1219	1207	553	
263201	1207	1219	555	
265101	1206	1268	1371	
265102	1267	1206	540	
265201	1206	1267	541	
265202	1268	1206	1369	
266301	1269	1270	854	
266401	1270	1269	857	
267301	1271	1275	663	
267302	1272	1271	1728	
267303	1273	1272	471	
267304	1274	1273	330	
267401	1273	1274	330	
267402	1272	1273	471	
267403	1271	1272	1728	
267404	1275	1271	663	
269301	479	1278	1055	
269302	1277	479	1618	
269401	479	1277	1618	
269402	1278	479	1055	
270101	1279	1229	874	
270102	111	1279	763	
270201	1279	111	750	
270202	1229	1279	879	
271301	1282	1371	577	
271302	1283	1282	472	
271303	1284	1283	851	
271401	1283	1284	851	
271402	1282	1283	472	
272301	144	1286	1084	
272401	1286	144	1083	
273101	1287	164	2495	
273201	164	1287	2503	
274101	1289	1290	2099	
274201	1290	1289	2109	
275101	470	1296	1062	
275102	1292	470	953	
275103	1293	1292	609	
275104	1240	1293	473	
275105	1295	1240	960	
275201	1240	1295	1234	
275202	1293	1240	205	
275203	1292	1293	620	
275204	470	1292	922	
275205	1296	470	1087	
276301	1297	1300	624	
276302	1298	1297	1160	
276303	1299	1298	1185	
276401	1298	1299	1231	
276402	1297	1298	1161	
276403	1300	1297	624	
277301	1199	1307	543	
277302	1302	1199	700	
277303	1303	1302	456	
277304	1304	1303	490	
277305	1305	1304	593	
277306	1306	1305	567	
277401	1305	1306	570	
277402	1304	1305	593	
277403	1303	1304	490	
277404	1302	1303	447	
277405	1199	1302	709	
277406	1307	1199	543	
278101	1308	433	1290	
278201	433	1308	1307	
279101	1230	1308	1132	
279102	1311	1230	743	
279103	1312	1311	545	
279104	112	1312	979	
279201	1312	112	976	
279202	1311	1312	547	
279203	1230	1311	736	
279204	1308	1230	1132	
280301	1315	437	951	
280302	1316	1315	588	
280303	1317	1316	919	
280304	1318	1317	494	
280305	1319	1318	638	
280401	1318	1319	638	
280402	1317	1318	494	
280403	1316	1317	919	
280404	1315	1316	575	
280405	437	1315	964	
281101	1321	1322	857	
281201	1322	1321	857	
282301	151	1247	1222	
282401	1247	151	1228	
283101	1325	1326	1262	
283201	1326	1325	1262	
284101	1327	1329	489	
284102	1328	1327	876	
284201	1327	1328	877	
284202	1329	1327	489	
285101	105	1331	2014	
285201	105	1246	1168	
285202	1331	105	2014	
286101	1332	1333	692	
286201	1333	1332	692	
287101	346	102	569	
287102	184	346	454	
287103	1336	184	609	
287104	442	1336	446	
287201	1336	442	446	
287202	184	1336	596	
287203	346	184	466	
287204	102	346	573	
288101	1339	477	585	
288102	1270	1339	550	
288201	1339	1270	547	
288202	477	1339	579	
289101	1342	1345	734	
289102	1343	1342	719	
289103	1344	1343	686	
289201	1343	1344	704	
289202	1342	1343	701	
289203	1345	1342	714	
290101	1220	1208	290	
290102	106	1220	1543	
290103	189	106	1359	
290201	106	189	1340	
290202	1220	106	1561	
290203	1208	1220	291	
291101	176	1354	460	
291102	1351	176	900	
291103	1352	1351	461	
291104	1353	1352	775	
291201	1352	1353	771	
291202	1351	1352	462	
291203	176	1351	900	
291204	1354	176	459	
292101	1355	1357	326	
292102	1356	1355	776	
292201	1355	1356	776	
292202	1357	1355	325	
293101	1358	1360	368	
293102	487	1358	508	
293201	1358	487	508	
293202	1360	1358	365	
294101	1361	1365	2430	
294102	1362	1361	1106	
294103	1363	1362	978	
294104	1278	1363	1483	
294201	1363	1278	1492	
294202	1362	1363	968	
294203	1361	1362	1100	
294204	1365	1361	2430	
295101	1366	1368	583	
295102	1367	1366	463	
295201	1366	1367	454	
295202	1368	1366	595	
296101	1196	1282	483	
296201	1282	1196	482	
297201	1371	0	863	
298101	480	1277	2233	
298201	1277	480	2218	
299301	1374	1375	797	
299401	1375	1374	797	
300101	1376	1214	713	
300201	1214	1376	713	
301101	97	1245	907	
301201	1245	97	895	
302301	1380	1227	663	
302302	1279	1380	524	
302303	1312	1279	377	
302401	1279	1312	375	
302402	1380	1279	533	
302403	1227	1380	677	
303301	1384	158	814	
303302	1385	1384	1112	
303303	1321	1385	1258	
303304	152	1321	447	
303305	145	152	829	
303401	152	145	830	
303402	1321	152	446	
303403	1385	1321	1261	
303404	1384	1385	1111	
303405	158	1384	810	
304101	1390	1297	1073	
304201	1297	1390	1077	
305101	1392	1395	832	
305102	342	1392	610	
305103	1394	342	486	
305202	1392	342	615	
305203	1395	1392	832	
306101	1396	1397	599	
306201	1397	1396	594	
307301	1398	1183	624	
307302	1399	1398	527	
307401	1398	1399	535	
307402	1183	1398	618	
308301	1401	1197	708	
308302	1402	1401	451	
308303	1403	1402	504	
308304	1404	1403	550	
308305	1405	1404	589	
308401	1404	1405	589	
308402	1403	1404	552	
308403	1402	1403	513	
308404	1401	1402	442	
308405	1197	1401	707	
309101	1407	1408	553	
309201	1408	1407	555	
310101	1409	455	335	
310201	455	1409	336	
311301	162	1417	1240	
311302	1412	162	661	
311303	1413	1412	684	
311304	1414	1413	425	
311305	1415	1414	678	
311306	154	1415	928	
311401	1415	154	925	
311402	1414	1415	686	
311403	1413	1414	433	
311404	1412	1413	674	
311405	162	1412	652	
311406	1417	162	1235	
315301	1418	1293	518	
315302	1419	1418	566	
315401	1418	1419	565	
315402	1293	1418	517	
316301	1366	1273	669	
316302	1422	1366	476	
316303	1423	1422	416	
316401	1422	1423	416	
316402	1366	1422	476	
316403	1273	1366	670	
317301	1367	1428	603	
317302	1426	1367	490	
317303	1427	1426	850	
317401	1426	1427	855	
317402	1367	1426	490	
317403	1428	1367	603	
318101	1203	1431	950	
318102	1430	1203	891	
318201	1203	1430	877	
318202	1431	1203	958	
319301	1432	1433	459	
319401	1433	1432	459	
320101	1434	428	922	
320201	428	1434	922	
321101	486	1437	726	
321201	1437	486	726	
322101	1414	1439	2644	
322201	1439	1414	2635	
324101	1300	1442	579	
324102	1441	1300	1096	
324201	1300	1441	1099	
324202	1442	1300	576	
325101	178	116	1117	
325102	1444	178	922	
325103	1445	1444	369	
325104	1446	1445	776	
325201	1445	1446	776	
325202	1444	1445	369	
325203	178	1444	909	
325204	116	178	1140	
326301	1448	1450	848	
326302	166	1448	424	
326401	1448	166	427	
326402	1450	1448	845	
327101	1451	1384	924	
327201	1384	1451	924	
328101	1423	138	597	
328102	1427	1423	636	
328103	1455	1427	771	
328104	1456	1455	914	
328105	1261	1456	717	
328201	1456	1261	707	
328202	1455	1456	928	
328203	1427	1455	771	
328204	1423	1427	636	
328205	138	1423	596	
329301	1459	1460	1051	
329401	1460	1459	1050	
330101	1461	1462	640	
330201	1462	1461	640	
331301	1463	491	1421	
331401	491	1463	1423	
332101	1465	1466	382	
332201	1466	1465	382	
333301	1467	1471	702	
333302	1292	1467	995	
333303	1469	1292	690	
333304	917	1469	1025	
333401	1469	917	1014	
333402	1292	1469	676	
333403	1467	1292	888	
333404	1471	1467	818	
334101	1472	1474	1109	
334102	1473	1472	924	
334201	1472	1473	924	
334202	1474	1472	1109	
305201	342	1394	483	
335301	1475	1478	1020	
335302	1476	1475	1882	
335303	481	1476	914	
335401	1476	481	915	
335402	1475	1476	1872	
335403	1478	1475	1027	
336301	496	1481	1175	
336302	1480	496	690	
336401	496	1480	701	
336402	1481	496	1150	
337101	1482	1239	1125	
337201	1239	1482	1112	
338301	1484	902	916	
338302	131	1484	1671	
338401	1484	131	1670	
338402	902	1484	926	
339301	1487	1489	631	
339302	1488	1487	2314	
339401	1487	1488	2321	
339402	1489	1487	629	
341301	460	423	959	
341401	423	460	962	
342101	1492	1493	343	
342201	1493	1492	342	
343101	1494	1496	1038	
343102	1412	1494	788	
343201	1494	1412	788	
343202	1496	1494	1037	
344101	188	1246	619	
344201	1246	188	619	
345301	1499	1363	2544	
345401	1363	1499	2554	
347101	1501	1502	409	
347201	1502	1501	412	
348101	1503	1505	531	
348102	1258	1503	702	
348201	1503	1258	702	
348202	1505	1503	531	
349101	99	1509	795	
349102	1507	99	610	
349103	1339	1507	644	
349201	1507	1339	636	
349202	99	1507	607	
349203	1509	99	797	
350101	459	1514	1120	
350102	181	459	580	
350103	1512	181	884	
350104	1513	1512	782	
350201	1512	1513	781	
350202	181	1512	898	
350203	459	181	565	
350204	1514	459	1132	
351101	1233	1516	1508	
351201	1516	1233	1508	
352101	1476	1518	1186	
352201	1518	1476	1182	
354101	1519	1521	1292	
354102	1520	1519	860	
354201	1519	1520	858	
354202	1521	1519	1292	
355101	1522	1523	1242	
355201	1523	1522	1242	
356101	348	104	543	
356102	186	348	485	
356103	1526	186	864	
356201	186	1526	864	
356202	348	186	496	
356203	104	348	536	
357101	474	1531	608	
357102	1529	474	906	
357103	1260	1529	721	
357201	1529	1260	721	
357202	474	1529	906	
357203	1531	474	608	
358101	1532	1533	970	
358201	1533	1532	971	
359101	1304	1538	485	
359102	100	1304	389	
359103	344	100	615	
359104	1537	344	507	
359201	344	1537	519	
359202	100	344	624	
359203	1304	100	378	
359204	1538	1304	476	
360301	1539	1541	530	
360302	1311	1539	568	
360401	1539	1311	576	
360402	1541	1539	518	
361301	156	1546	1405	
361302	1543	156	1901	
361303	149	1543	1534	
361304	142	149	711	
361401	149	142	705	
361402	1543	149	1548	
361403	156	1543	1885	
361404	1546	156	1414	
362101	177	115	618	
362102	1548	177	882	
362103	1549	1548	423	
362104	1550	1549	776	
362201	1549	1550	776	
362202	1548	1549	424	
362203	177	1548	883	
362204	115	177	588	
363301	482	1519	725	
363401	1519	482	722	
364101	1554	1204	872	
364201	1204	1554	872	
365301	1556	1557	1032	
365401	1557	1556	1028	
366101	1471	472	1029	
366102	1559	1471	1186	
366201	1471	1559	1198	
366202	472	1471	1023	
368101	1561	1562	1047	
368201	1562	1561	1054	
369101	1415	1564	1559	
369201	1564	1415	1559	
372101	1565	1575	1022	
372102	1566	1565	456	
372103	1567	1566	568	
372104	1568	1567	1639	
372105	1569	1568	1325	
372106	1570	1569	1342	
372107	1571	1570	1724	
372108	1572	1571	734	
372109	1573	1572	1375	
372110	1574	1573	945	
372201	1573	1574	1038	
372202	1572	1573	1314	
372203	1571	1572	727	
372204	1570	1571	1713	
372205	1569	1570	1336	
372206	1568	1569	1322	
372207	1567	1568	1655	
372208	1566	1567	567	
372209	1565	1566	452	
372210	1575	1565	1025	
373101	1576	1577	806	
373201	1577	1576	806	
374101	1578	1004	4950	
374201	1004	1578	4336	
375301	1580	1581	2005	
375401	1581	1580	2014	
377301	1582	1583	617	
377401	1583	1582	569	
378101	1584	1586	868	
378102	1585	1584	529	
378201	1584	1585	518	
378202	1586	1584	858	
379101	1587	1590	636	
379102	1588	1587	1064	
379103	1589	1588	734	
379201	1588	1589	723	
379202	1587	1588	1060	
379203	1590	1587	654	
380101	1591	1576	733	
380201	1576	1591	727	
381101	1593	1594	875	
381201	1594	1593	872	
382301	1595	1596	982	
382401	1596	1595	1077	
383301	1597	1598	899	
383401	1598	1597	899	
384301	1599	1600	891	
384401	1600	1599	894	
385101	1601	1603	1249	
385102	1602	1601	859	
385201	1601	1602	859	
385202	1603	1601	1256	
386101	1604	1609	913	
386102	1605	1604	564	
386103	1606	1605	952	
386104	1607	1606	1141	
386105	1608	1607	1248	
386201	1607	1608	1147	
386202	1606	1607	1138	
386203	1605	1606	954	
386204	1604	1605	569	
386205	1609	1604	921	
387301	1610	1612	894	
387302	1611	1610	1362	
387401	1610	1611	1363	
387402	1612	1610	900	
388101	1613	1614	1898	
388201	1614	1613	1883	
389301	1615	1616	477	
389401	1616	1615	479	
390301	1617	1613	939	
390401	1613	1617	944	
391101	1619	1620	1883	
391201	1620	1619	1882	
392101	1621	698	1397	
392102	1622	1621	855	
392201	1621	1622	844	
392202	698	1621	1396	
393301	1624	1628	1187	
393302	1625	1624	418	
393303	1626	1625	191	
393304	1627	1626	506	
393401	1626	1627	507	
393402	1625	1626	186	
393403	1624	1625	418	
393404	1628	1624	1186	
394301	753	1619	1801	
394401	1619	753	1805	
395301	1598	1633	910	
395302	755	1598	1521	
395401	1598	755	1536	
395402	1633	1598	911	
396101	1634	756	1228	
396102	1635	1634	707	
396201	1634	1635	682	
396202	756	1634	1238	
397301	1637	1645	593	
397302	1638	1569	869	
397303	758	1638	718	
397304	1640	758	548	
397305	1641	1640	785	
397306	1642	1641	978	
397307	1635	1642	384	
397401	1642	1635	379	
397402	1641	1642	978	
397403	1640	1641	802	
397404	758	1640	532	
397405	1638	758	736	
397406	1569	1638	865	
397407	1645	1637	583	
398301	1646	1647	928	
398401	1647	1646	934	
399101	1047	1655	192	
399102	1649	1047	541	
399103	1650	1649	587	
399104	1651	1650	844	
399105	1652	1651	803	
399106	1653	1652	771	
399107	1654	1653	744	
399201	1653	1654	752	
399202	1652	1653	770	
399203	1651	1652	804	
399204	1650	1651	863	
399205	1649	1650	585	
399206	1047	1649	527	
399207	1655	1047	193	
400301	759	1570	1079	
400302	1657	759	789	
400303	1609	1657	893	
400304	1659	1609	728	
400401	1609	1659	722	
400402	1657	1609	900	
400403	759	1657	776	
400404	1570	759	1096	
401101	1645	1665	950	
401102	1662	1645	1128	
401103	1663	1662	1059	
401104	1571	1663	1419	
401203	1663	1571	1419	
401204	1662	1663	1024	
401205	1645	1662	1159	
401206	1665	1645	963	
402302	1666	1671	1192	
402303	1667	1666	552	
402304	1668	1667	1061	
402305	1607	1668	896	
402306	1670	1607	437	
402401	1607	1670	427	
402402	1668	1607	893	
402403	1667	1668	1061	
402404	1666	1667	552	
402405	1671	1666	1222	
403301	1672	1674	1554	
403302	1673	1672	986	
403401	1672	1673	976	
403402	1674	1672	1554	
404301	1675	1676	1200	
404401	1676	1675	1205	
406101	1677	696	923	
406102	1678	1677	1609	
406103	1679	1678	700	
406201	1678	1679	586	
406202	1677	1678	1647	
406203	696	1677	924	
407301	1681	769	528	
407302	1622	1681	622	
407303	1683	1622	1441	
407304	1614	1683	1201	
407305	1685	1614	1126	
407401	1614	1685	1064	
407402	1683	1614	1196	
407403	1622	1683	1449	
407404	1681	1622	638	
407405	769	1681	521	
408101	1687	1681	2109	
408201	1681	1687	2127	
409301	1689	1691	2112	
409302	1690	1689	738	
409401	1689	1690	736	
409402	1691	1689	2116	
410301	1692	1696	504	
410302	1693	1692	835	
410303	1694	1693	1018	
410304	1695	1694	1437	
410401	1694	1695	1440	
410402	1693	1694	1015	
410403	1692	1693	826	
410404	1696	1692	655	
411101	1611	1694	786	
411102	1586	1611	478	
411103	1699	1586	847	
411104	1700	1699	1625	
411105	1596	1700	806	
411201	1700	1596	1097	
411202	1699	1700	1455	
411203	1586	1699	840	
411204	1611	1586	498	
411205	1694	1611	796	
412301	1585	1617	707	
412302	1699	1585	529	
412303	1616	1699	986	
412401	1699	1616	986	
412402	1585	1699	529	
412403	1617	1585	707	
413101	1707	1710	733	
413102	1708	1707	422	
413103	1709	1708	307	
